uf,populacao,2020/Jul
São Paulo,46289333,282709570.31
Minas Gerais,21292666,120467187.34
Rio de Janeiro,17366189,71540227.33
Bahia,14930634,58898100.4
Paraná,11516840,80320852.69
Rio Grande do Sul,11422973,78929703.81
Pernambuco,9616621,62325444.34
Ceará,9187103,30809221.22
Pará,8690745,27618727.51
Santa Catarina,7252502,51764534.76
Maranhão,7114598,24374205.15
Goiás,7113540,33499284.38
Amazonas,4207714,13358514.02
Espírito Santo,4064052,27460475.47
Paraíba,4039277,15491469.06
Rio Grande do Norte,3534165,19593057.45
Mato Grosso,3526220,13083151.7
Alagoas,3351543,13087850.4
Piauí,3281480,18019214.49
Distrito Federal,3055149,22233542.26
Mato Grosso do Sul,2809394,12508717.35
Sergipe,2318822,3312766.32
Rondônia,1796460,7407388.24
Tocantins,1590248,4489665.87
Acre,894470,1163813.08
Amapá,861773,2155083.37
Roraima,631181,2739498.41
